Name,Short_name,Medium_name
Adelie Land (France),Adelie Land,Adelie Land (France)
Afghanistan,Afghanistan,Afghanistan
Aland Islands,Aland Islands,Aland Islands
Albania,Albania,Albania
Algeria,Algeria,Algeria
Americas,Americas,Americas
Andorra,Andorra,Andorra
Angola,Angola,Angola
Anguilla,Anguilla,Anguilla
Antarctica,Antarctica,Antarctica
Antigua and Barbuda,Antigua/Barbuda,Antigua and Barbuda
Argentina,Argentina,Argentina
Argentinian Antarctic Territory,Argentinian A T,Argentinian A T
Armenia,Armenia,Armenia
Aruba,Aruba,Aruba
Australia,Australia,Australia
Australia (includes External Territories),Aust (incl E T),Australia (includes E T)
Australian Antarctic Territory,Australian A T,Australian Antarctic Territory
"Australian External Territories, nec","Aust E T, nec","Australian E T, nec"
Austria,Austria,Austria
Azerbaijan,Azerbaijan,Azerbaijan
Bahamas,Bahamas,Bahamas
Bahrain,Bahrain,Bahrain
Bangladesh,Bangladesh,Bangladesh
Barbados,Barbados,Barbados
Belarus,Belarus,Belarus
Belgium,Belgium,Belgium
Belize,Belize,Belize
Benin,Benin,Benin
Bermuda,Bermuda,Bermuda
Bhutan,Bhutan,Bhutan
Bolivia,Bolivia,Bolivia
"Bonaire, Sint Eustatius and Saba",Bonaire/SE/Saba,"Bonaire, Sint Eustatius & Saba"
Bosnia and Herzegovina,Bosnia/Herzegov,Bosnia and Herzegovina
Botswana,Botswana,Botswana
Brazil,Brazil,Brazil
British Antarctic Territory,British A T,British Antarctic
Brunei Darussalam,Brunei,Brunei Darussalam
Bulgaria,Bulgaria,Bulgaria
Burkina Faso,Burkina Faso,Burkina Faso
Burundi,Burundi,Burundi
Cambodia,Cambodia,Cambodia
Cameroon,Cameroon,Cameroon
Canada,Canada,Canada
Cabo Verde,Cabo Verde,Cabo Verde
Caribbean,Caribbean,Caribbean
Cayman Islands,Cayman Islands,Cayman Islands
Central African Republic,Cent Africa Rep,Central African Republic
Central America,Central America,Central America
Central and West Africa,Cent & W Africa,Central and West Africa
Central Asia,Central Asia,Central Asia
Chad,Chad,Chad
Chile,Chile,Chile
Chilean Antarctic Territory,Chilean A T,Chilean AntarcticTerritory
China,China,China (excludes SARs & Taiwan)
Chinese Asia (includes Mongolia),Chinese Asia,Chinese Asia (incl Mongolia)
Colombia,Colombia,Colombia
Comoros,Comoros,Comoros
"Congo, Democratic Republic of","Congo, Dem Rep","Congo, Democratic Republic of"
"Congo, Republic of","Congo, Rep","Congo, Republic of"
Cook Islands,Cook Islands,Cook Islands
Costa Rica,Costa Rica,Costa Rica
Cote d'Ivoire,Cote d'Ivoire,Cote d'Ivoire
Croatia,Croatia,Croatia
Cuba,Cuba,Cuba
Curacao,Curacao,Curacao
Cyprus,Cyprus,Cyprus
Czech Republic,Czechia,Czech Republic
Denmark,Denmark,Denmark
Djibouti,Djibouti,Djibouti
Dominica,Dominica,Dominica
Dominican Republic,Dominican Rep,Dominican Republic
Eastern Europe,Eastern Europe,Eastern Europe
Ecuador,Ecuador,Ecuador
Egypt,Egypt,Egypt
El Salvador,El Salvador,El Salvador
England,England,England
Equatorial Guinea,Equator Guinea,Equatorial Guinea
Eritrea,Eritrea,Eritrea
Estonia,Estonia,Estonia
Eswatini,Eswatini,Kingdom of Eswatini
Ethiopia,Ethiopia,Ethiopia
Faroe Islands,Faroe Islands,Faroe Islands
Falkland Islands,Falkland Is,Falkland Islands
Fiji,Fiji,Fiji
Finland,Finland,Finland
France,France,France
French Guiana,French Guiana,French Guiana
French Polynesia,French Poly,French Polynesia
Gabon,Gabon,Gabon
Gambia,Gambia,Gambia
Georgia,Georgia,Georgia
Germany,Germany,Germany
Ghana,Ghana,Ghana
Gibraltar,Gibraltar,Gibraltar
Greece,Greece,Greece
Greenland,Greenland,Greenland
Grenada,Grenada,Grenada
Guadeloupe,Guadeloupe,Guadeloupe
Guam,Guam,Guam
Guatemala,Guatemala,Guatemala
Guernsey,Guernsey,Guernsey
Guinea,Guinea,Guinea
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
Guyana,Guyana,Guyana
Haiti,Haiti,Haiti
Holy See,Holy See,Holy See
Honduras,Honduras,Honduras
Hong Kong (SAR of China),Hong Kong,Hong Kong (SAR of China)
Hungary,Hungary,Hungary
Iceland,Iceland,Iceland
India,India,India
Indonesia,Indonesia,Indonesia
Iran,Iran,Iran
Iraq,Iraq,Iraq
Ireland,Ireland,Ireland
Isle of Man,Isle of Man,Isle of Man
Israel,Israel,Israel
Italy,Italy,Italy
Jamaica,Jamaica,Jamaica
Japan,Japan,Japan
Japan and the Koreas,Japan & Koreas,Japan and the Koreas
Jersey,Jersey,Jersey
Jordan,Jordan,Jordan
Kazakhstan,Kazakhstan,Kazakhstan
Kenya,Kenya,Kenya
Kiribati,Kiribati,Kiribati
"Korea, North","Korea, North","Korea, Dem Rep of (North)"
"Korea, South","Korea, South","Korea, Republic of (South)"
Kosovo,Kosovo,Kosovo
Kuwait,Kuwait,Kuwait
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
Laos,Laos,Laos
Latvia,Latvia,Latvia
Lebanon,Lebanon,Lebanon
Lesotho,Lesotho,Lesotho
Liberia,Liberia,Liberia
Libya,Libya,Libya
Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Lithuania,Lithuania
Luxembourg,Luxembourg,Luxembourg
Macau,Macau,Macau
Madagascar,Madagascar,Madagascar
Mainland South-East Asia,Mainld SE Asia,Mainland South-East Asia
Malawi,Malawi,Malawi
Malaysia,Malaysia,Malaysia
Maldives,Maldives,Maldives
Mali,Mali,Mali
Malta,Malta,Malta
Maritime South-East Asia,M'time SE Asia,Maritime South-East Asia
Marshall Islands,Marshall Is,Marshall Islands
Martinique,Martinique,Martinique
Mauritania,Mauritania,Mauritania
Mauritius,Mauritius,Mauritius
Mayotte,Mayotte,Mayotte
Melanesia,Melanesia,Melanesia
Mexico,Mexico,Mexico
Micronesia,Micronesia,Micronesia
