country,2019-20,2020-21,2021-22,2022-23
Afghanistan,2158,5194,493,128
Albania,1134,2053,409,8
Algeria,2722,3507,652,
American Samoa,,,34,
Andorra,83,56,19,1
Angola,400,1346,183,8
Anguilla,,5,7,
Antigua and Barbuda,5,113,28,
Argentina,47507,70323,12294,576
Armenia,2768,5175,765,67
Aruba,47,134,99,12
Australia,920,1457,15439,6528
Austria,7049,9538,4984,963
Azerbaijan,2416,5868,1722,347
Bahamas,169,544,120,11
Bahrain,351,1043,142,
Bangladesh,7452,20608,1379,38
Barbados,7,253,308,25
Belarus,1376,4108,1634,
Belgium,19374,8818,5048,1099
Belize,228,364,96,
Benin,44,117,2,
Bermuda,9,97,46,13
Bhutan,,3,18,
Bolivia,9083,10447,2750,105
"Bonaire, Sint Eustatius and Saba",3,19,17,2
Bosnia and Herzegovina,3923,9360,2939,158
Botswana,39,2400,347,14
Brazil,190488,427904,74351,9373
"Virgin Islands, British",1,38,25,
Brunei Darussalam,3,58,87,23
Bulgaria,7123,23405,7508,594
Burkina Faso,78,239,78,5
Burundi,2,12,1,
Cabo Verde,112,240,60,5
Cambodia,,3008,48,
Cameroon,448,1403,114,9
Canada,14734,15117,18570,5329
Cayman Islands,2,9,26,
Central African Republic,63,38,12,
Chad,104,77,13,
Charo,,,,
Chefoo,,,,
Chile,16404,22609,23999,785
China,4777,922,33296,82898
Colombia,41690,87996,12390,651
Comoros,7,146,7,
"Congo, Rep",100,267,19,3
"Congo, Dem Rep",579,626,257,6
Cook Islands,,,1,1
Costa Rica,2103,5246,1723,296
Cote d'Ivoire,134,573,123,5
Croatia,3613,8666,5236,1172
Cuba,141,8179,210,
Curacao,12,174,113,6
Cyprus,114,523,618,110
Czechia,11367,24621,6111,1255
Denmark,1159,2038,4515,1781
Diamond,13,,,
Djibouti,61,128,,
Dominica,,45,29,
Dominican Republic,2404,1833,147,
Ecuador,13990,19657,2287,90
Egypt,7352,14219,3231,28
El Salvador,1297,2521,412,
Equatorial Guinea,86,89,8,
Eritrea,1,71,31,
Estonia,284,1544,899,245
Eswatini,163,1109,150,5
Ethiopia,1901,4993,678,2
Falkland Islands ,,,,
Faroe Islands,,13,15,
Fesco,,,,
Fiji,2,695,184,4
Finland,618,1218,6862,2710
France,63534,60631,37502,6380
French Guiana,71,266,76,
French Polynesia,108,528,13,
Gabon,64,223,19,1
Gambia,123,219,30,
Georgia,2377,11135,3386,234
Germany,47009,70683,48046,9241
Ghana,335,952,174,1
Gibraltar,6,94,10,3
Greece,4682,15823,14471,3445
Greenland,,1,20,
Grenada,,200,38,
Guadeloupe,155,676,168,22
