Country of birth(d),2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Adelie Land,0,0,0,0,0,0,0,0
Afghanistan,"2,760","2,970","3,320","3,040","3,070","1,460","8,410","6,340"
Aland Islands,0,0,0,0,0,0,0,0
Albania,140,150,130,90,100,-60,30,160
Algeria,40,30,40,50,50,-10,-20,60
Andorra,10,0,0,10,0,0,-10,0
Angola,10,0,0,10,10,0,0,20
Anguilla,0,0,0,0,0,0,0,0
Antigua/Barbuda,0,0,0,0,0,0,0,0
Argentina,510,650,880,"1,710","2,600",-390,"1,000","6,080"
Argentinian A T,0,0,0,0,0,0,0,0
Armenia,30,30,20,10,20,10,30,50
Aruba,0,0,0,0,0,0,0,0
"Aust E T, nec",0,0,0,0,0,0,0,0
Australia,"-21,370","-15,870","-15,500","-12,360","18,060","7,470","-14,540","-31,690"
Australian A T,0,0,0,0,0,0,0,0
Austria,20,40,10,50,60,-50,-20,100
Azerbaijan,30,20,40,20,0,-20,30,70
Bahamas,10,0,0,10,0,0,10,0
Bahrain,80,90,70,90,70,20,90,110
Bangladesh,"2,830","2,940","2,910","2,590","2,660",-560,"2,770","6,350"
Barbados,10,10,0,0,10,0,0,0
Belarus,70,70,70,60,90,10,70,120
Belgium,220,190,280,120,350,-240,-20,410
Belize,0,0,0,0,0,0,0,0
Benin,0,0,0,10,0,-10,0,0
Bermuda,0,10,10,0,10,0,10,10
Bhutan,560,"1,000","1,630","1,930","1,950",-130,"1,690","13,160"
Bolivia,10,30,30,50,50,-10,20,120
Bonaire/SE/Saba,0,0,0,0,0,0,0,0
Bosnia/Herzegov,40,20,20,-20,40,-120,-280,-220
Botswana,30,60,70,80,60,-20,40,150
Brazil,"5,830","7,510","6,260","4,510","1,790","-1,750","2,790","11,910"
British A T,0,0,0,0,0,0,0,0
Brunei,100,100,40,0,0,-40,170,150
Bulgaria,130,70,100,40,50,-40,-80,30
Burkina Faso,0,0,0,0,10,0,0,10
Burundi,110,90,190,320,200,0,70,100
Cabo Verde,0,0,0,0,10,0,0,10
Cambodia,"1,210","1,230","1,530","1,420","1,260",-280,"1,440","1,730"
Cameroon,30,30,30,40,40,0,30,50
Canada,"1,110","1,040",800,980,860,-400,610,"1,530"
Cayman Islands,10,10,0,0,10,0,10,0
Cent Africa Rep,0,0,0,60,80,0,0,20
Chad,0,0,0,20,30,0,0,10
Chile,800,980,"1,210","1,290","1,300",-400,900,"4,460"
Chilean A T,0,0,0,0,0,0,0,0
China,"45,480","50,020","44,610","20,170","-18,590","-50,270","14,720","64,320"
Colombia,"2,610","3,690","3,650","4,950","4,650","-1,460","1,090","22,330"
Comoros,0,0,0,0,0,0,0,0
"Congo, Dem Rep",630,340,620,"1,480",680,30,190,220
"Congo, Rep",30,50,40,30,40,10,30,30
Cook Islands,140,40,20,70,40,-10,10,120
Costa Rica,30,20,20,40,10,0,30,40
Cote d'Ivoire,0,40,0,10,30,0,0,20
Croatia,-30,30,-80,-20,100,-110,-340,-280
Cuba,20,30,30,20,40,0,10,60
Curacao,0,0,0,0,0,0,0,10
Cyprus,-10,20,-30,-10,20,-40,-40,-10
Czechia,200,170,-20,0,20,-150,-60,230
Denmark,100,90,-10,-10,100,-140,-30,250
Djibouti,10,0,0,0,0,0,0,10
Dominica,0,0,0,0,0,0,0,0
