Country of birth(d),2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Adelie Land,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,"2,480","4,190","2,900","2,760","2,970","3,320","3,040","3,070","1,460","8,410","6,340"
Aland Islands,0,0,0,0,0,0,0,0,0,0,0
Albania,190,260,200,140,150,130,90,100,-60,30,160
Algeria,70,50,20,40,30,40,50,50,-10,-20,60
Andorra,10,0,0,10,0,0,10,0,0,-10,0
Angola,10,0,0,10,0,0,10,10,0,0,20
Anguilla,0,0,0,0,0,0,0,0,0,0,0
Antigua/Barbuda,0,0,10,0,0,0,0,0,0,0,0
Argentina,520,470,440,510,650,880,"1,710","2,600",-390,"1,000","6,080"
Argentinian A T,0,0,0,0,0,0,0,0,0,0,0
Armenia,20,50,30,30,30,20,10,20,10,30,50
Aruba,0,0,0,0,0,0,0,0,0,0,0
"Aust E T, nec",0,0,0,0,0,0,0,0,0,0,0
Australia,"-9,840","-19,390","-23,000","-21,370","-15,870","-15,500","-12,360","18,060","7,470","-14,540","-31,690"
Australian A T,0,0,0,0,0,0,0,0,0,0,0
Austria,90,20,90,20,40,10,50,60,-50,-20,100
Azerbaijan,40,40,40,30,20,40,20,0,-20,30,70
Bahamas,0,10,10,10,0,0,10,0,0,10,0
Bahrain,70,60,60,80,90,70,90,70,20,90,110
Bangladesh,"2,500","2,440","2,880","2,830","2,940","2,910","2,590","2,660",-560,"2,770","6,350"
Barbados,10,0,10,10,10,0,0,10,0,0,0
Belarus,90,100,90,70,70,70,60,90,10,70,120
Belgium,370,210,230,220,190,280,120,350,-240,-20,410
Belize,10,0,-10,0,0,0,0,0,0,0,0
Benin,0,0,10,0,0,0,10,0,-10,0,0
Bermuda,10,20,10,0,10,10,0,10,0,10,10
Bhutan,600,"1,210",650,560,"1,000","1,630","1,930","1,950",-130,"1,690","13,160"
Bolivia,50,10,-10,10,30,30,50,50,-10,20,120
Bonaire/SE/Saba,0,0,0,0,0,0,0,0,0,0,0
