Visa groupings,2018-19,2021-22,2022-23
Permanent visas,,,,
Family,5.8,6.4,6.1
Skilled (permanent),7.5,6.9,5.2
Special eligibility & humanitarian,0.2,0.1,0.1
Other (permanent),8.1,10.2,10.7
Total permanent visas,21.5,23.7,22.1
Temporary visas,,,,
Student - vocational education and training,17.0,7.0,4.5
Student - higher education,40.9,15.5,7.4
Student - other,9.5,4.3,2.9
Skilled (temporary),15.7,8.7,5.6
Working holiday,25.1,4.6,3.0
Visitors,27.3,17.1,19.1
Other (temporary),33.0,42.2,33.8
Total temporary visas,168.5,99.5,76.4
New Zealand citizens (subclass 444),22.4,15.2,17.1
Australian citizens (no visa required),85.9,77.7,94.4
Total,309.1,223.1,219.1
